idEleccion,Region_o_Nivel,idAgrupacionPolitica,AgrupacionPolitica,TotalVotos	
10,11,29,PARTIDO POLÍTICO PERÚ PRIMERO,5347	
10,11,3,ALIANZA ELECTORAL VENCEREMOS,4369	
10,11,30,PARTIDO POLÍTICO PRIN,400	
10,11,31,PARTIDO SICREO,24375	
10,11,32,PODEMOS PERÚ,15601	
10,11,33,PRIMERO LA GENTE – COMUNIDAD, ECOLOGÍA, LIBERTAD Y PROGRESO,17014	
10,11,34,PROGRESEMOS,2909	
10,11,35,RENOVACIÓN POPULAR,47495	
10,11,36,SALVEMOS AL PERÚ,973	
10,11,37,UN CAMINO DIFERENTE,1438	
10,11,38,UNIDAD NACIONAL,1673	
10,11,4,PERÚ MODERNO,337	
10,11,5,FE EN EL PERÚ,1052	
10,11,6,FRENTE POPULAR AGRÍCOLA FÍA DEL PERÚ,0	
10,11,7,AVANZA PAÍS - PARTIDO DE INTEGRACIÓN SOCIAL,944	
10,11,8,FUERZA POPULAR,102301	
10,11,80,VOTOS EN BLANCO,99556	
10,11,81,VOTOS NULOS,39683	
10,11,82,VOTOS IMPUGNADOS,0	
10,11,9,FUERZA Y LIBERTAD,4506	
10,12,1,ALIANZA PARA EL PROGRESO,31257	
10,12,10,JUNTOS POR EL PERÚ,79294	
10,12,11,LIBERTAD POPULAR,1836	
10,12,12,PARTIDO APRISTA PERUANO,27041	
10,12,13,PARTIDO CIUDADANOS POR EL PERÚ,0	
10,12,14,PARTIDO CÍVICO OBRAS,64917	
10,12,15,PARTIDO DE LOS TRABAJADORES Y EMPRENDEDORES PTE - PERÚ,498	
10,12,16,PARTIDO DEL BUEN GOBIERNO,91119	
10,12,17,PARTIDO DEMÓCRATA UNIDO PERÚ,3970	
10,12,18,PARTIDO DEMÓCRATA VERDE,2825	
10,12,19,PARTIDO DEMOCRATICO FEDERAL,1008	
10,12,2,AHORA NACIÓN - AN,37703	
10,12,20,PARTIDO DEMOCRÁTICO SOMOS PERÚ,5229	
10,12,21,PARTIDO FRENTE DE LA ESPERANZA 2021,14031	
10,12,22,PARTIDO MORADO,3844	
10,12,23,PARTIDO PAÍS PARA TODOS,73519	
10,12,24,PARTIDO PATRIÓTICO DEL PERÚ,8060	
10,12,25,PARTIDO POLÍTICO COOPERACIÓN POPULAR,3070	
10,12,26,PARTIDO POLÍTICO INTEGRIDAD DEMOCRÁTICA,3659	
10,12,27,PARTIDO POLÍTICO NACIONAL PERÚ LIBRE,4493	
10,12,28,PARTIDO POLÍTICO PERÚ ACCIÓN,1709	
10,12,29,PARTIDO POLÍTICO PERÚ PRIMERO,6750	
10,12,3,ALIANZA ELECTORAL VENCEREMOS,4541	
10,12,30,PARTIDO POLÍTICO PRIN,958	
10,12,31,PARTIDO SICREO,34686	
10,12,32,PODEMOS PERÚ,19738	
10,12,33,PRIMERO LA GENTE – COMUNIDAD, ECOLOGÍA, LIBERTAD Y PROGRESO,29777	
10,12,34,PROGRESEMOS,2448	
10,12,35,RENOVACIÓN POPULAR,76054	
10,12,36,SALVEMOS AL PERÚ,638	
10,12,37,UN CAMINO DIFERENTE,82652	
10,12,38,UNIDAD NACIONAL,2625	
10,12,4,PERÚ MODERNO,351	
10,12,5,FE EN EL PERÚ,1260	
10,12,6,FRENTE POPULAR AGRÍCOLA FÍA DEL PERÚ,0	
10,12,7,AVANZA PAÍS - PARTIDO DE INTEGRACIÓN SOCIAL,2190	
10,12,8,FUERZA POPULAR,183139	
10,12,80,VOTOS EN BLANCO,149363	
10,12,81,VOTOS NULOS,69399	
10,12,82,VOTOS IMPUGNADOS,0	
10,12,9,FUERZA Y LIBERTAD,1227	
10,13,1,ALIANZA PARA EL PROGRESO,13929	
10,13,10,JUNTOS POR EL PERÚ,63994	
10,13,11,LIBERTAD POPULAR,1158	
10,13,12,PARTIDO APRISTA PERUANO,14561	
10,13,13,PARTIDO CIUDADANOS POR EL PERÚ,0	
10,13,14,PARTIDO CÍVICO OBRAS,47583	
10,13,15,PARTIDO DE LOS TRABAJADORES Y EMPRENDEDORES PTE - PERÚ,389	
10,13,16,PARTIDO DEL BUEN GOBIERNO,68392	
10,13,17,PARTIDO DEMÓCRATA UNIDO PERÚ,1885	
10,13,18,PARTIDO DEMÓCRATA VERDE,2054	
10,13,19,PARTIDO DEMOCRATICO FEDERAL,919	
10,13,2,AHORA NACIÓN - AN,29304	
10,13,20,PARTIDO DEMOCRÁTICO SOMOS PERÚ,6525	
10,13,21,PARTIDO FRENTE DE LA ESPERANZA 2021,9939	
10,13,22,PARTIDO MORADO,3901	
10,13,23,PARTIDO PAÍS PARA TODOS,60766	
10,13,24,PARTIDO PATRIÓTICO DEL PERÚ,6425	
10,13,25,PARTIDO POLÍTICO COOPERACIÓN POPULAR,3776	
10,13,26,PARTIDO POLÍTICO INTEGRIDAD DEMOCRÁTICA,2993	
10,13,27,PARTIDO POLÍTICO NACIONAL PERÚ LIBRE,2917	
10,13,28,PARTIDO POLÍTICO PERÚ ACCIÓN,1074	
10,13,29,PARTIDO POLÍTICO PERÚ PRIMERO,9111	
10,13,3,ALIANZA ELECTORAL VENCEREMOS,3227	
10,13,30,PARTIDO POLÍTICO PRIN,338	
10,13,31,PARTIDO SICREO,20058	
10,13,32,PODEMOS PERÚ,8418	
10,13,33,PRIMERO LA GENTE – COMUNIDAD, ECOLOGÍA, LIBERTAD Y PROGRESO,20626	
10,13,34,PROGRESEMOS,1468	
10,13,35,RENOVACIÓN POPULAR,56785	
10,13,36,SALVEMOS AL PERÚ,581	
10,13,37,UN CAMINO DIFERENTE,3324	
10,13,38,UNIDAD NACIONAL,3053	
10,13,4,PERÚ MODERNO,446	
10,13,5,FE EN EL PERÚ,724	
10,13,6,FRENTE POPULAR AGRÍCOLA FÍA DEL PERÚ,0	
10,13,7,AVANZA PAÍS - PARTIDO DE INTEGRACIÓN SOCIAL,1565	
10,13,8,FUERZA POPULAR,167438	
10,13,80,VOTOS EN BLANCO,92442	
10,13,81,VOTOS NULOS,47789	
10,13,82,VOTOS IMPUGNADOS,0	
10,13,9,FUERZA Y LIBERTAD,724	
10,14,1,ALIANZA PARA EL PROGRESO,30596	
10,14,10,JUNTOS POR EL PERÚ,191999	
10,14,11,LIBERTAD POPULAR,14615	
10,14,12,PARTIDO APRISTA PERUANO,49383	
10,14,13,PARTIDO CIUDADANOS POR EL PERÚ,0	
10,14,14,PARTIDO CÍVICO OBRAS,540675	
10,14,15,PARTIDO DE LOS TRABAJADORES Y EMPRENDEDORES PTE - PERÚ,3351	
10,14,16,PARTIDO DEL BUEN GOBIERNO,900262	
10,14,17,PARTIDO DEMÓCRATA UNIDO PERÚ,28238	
