id,idMesa,codigoMesa,idEleccion,idUbigeo,centroPoblado,nombreLocalVotacion,codigoLocalVotacion,totalElectoresHabiles,totalVotosEmitidos,totalVotosValidos,totalAsistentes,porcentajeParticipacionCiudadana,estadoActa,estadoComputo,codigoEstadoActa,descripcionEstadoActa,adAgrupacionPolitica,adDescripcion,adVotos,adPorcentajeVotosEmitidos
8806495020210,88064,088064,10,950202,,EMBAJADA DEL PERÚ EN NUEVA ZELANDA.  ,90216,286,70,65,70,24.476,D,N,C,Contabilizada,32,PODEMOS PERÚ,0,0
8806495020210,88064,088064,10,950202,,EMBAJADA DEL PERÚ EN NUEVA ZELANDA.  ,90216,286,70,65,70,24.476,D,N,C,Contabilizada,33,"PRIMERO LA GENTE – COMUNIDAD, ECOLOGÍA, LIBERTAD Y PROGRESO",8,11.429
8806495020210,88064,088064,10,950202,,EMBAJADA DEL PERÚ EN NUEVA ZELANDA.  ,90216,286,70,65,70,24.476,D,N,C,Contabilizada,7,AVANZA PAÍS - PARTIDO DE INTEGRACIÓN SOCIAL,0,0
8806495020210,88064,088064,10,950202,,EMBAJADA DEL PERÚ EN NUEVA ZELANDA.  ,90216,286,70,65,70,24.476,D,N,C,Contabilizada,4,PERÚ MODERNO,0,0
8806495020210,88064,088064,10,950202,,EMBAJADA DEL PERÚ EN NUEVA ZELANDA.  ,90216,286,70,65,70,24.476,D,N,C,Contabilizada,2,AHORA NACIÓN - AN,4,5.714
8806495020210,88064,088064,10,950202,,EMBAJADA DEL PERÚ EN NUEVA ZELANDA.  ,90216,286,70,65,70,24.476,D,N,C,Contabilizada,6,FRENTE POPULAR AGRÍCOLA FÍA DEL PERÚ,,0
8806495020210,88064,088064,10,950202,,EMBAJADA DEL PERÚ EN NUEVA ZELANDA.  ,90216,286,70,65,70,24.476,D,N,C,Contabilizada,22,PARTIDO MORADO,0,0
8806495020210,88064,088064,10,950202,,EMBAJADA DEL PERÚ EN NUEVA ZELANDA.  ,90216,286,70,65,70,24.476,D,N,C,Contabilizada,18,PARTIDO DEMÓCRATA VERDE,0,0
8806495020210,88064,088064,10,950202,,EMBAJADA DEL PERÚ EN NUEVA ZELANDA.  ,90216,286,70,65,70,24.476,D,N,C,Contabilizada,9,FUERZA Y LIBERTAD,0,0
8806495020210,88064,088064,10,950202,,EMBAJADA DEL PERÚ EN NUEVA ZELANDA.  ,90216,286,70,65,70,24.476,D,N,C,Contabilizada,28,PARTIDO POLÍTICO PERÚ ACCIÓN,0,0
8806495020210,88064,088064,10,950202,,EMBAJADA DEL PERÚ EN NUEVA ZELANDA.  ,90216,286,70,65,70,24.476,D,N,C,Contabilizada,81,VOTOS NULOS,2,2.857
8806495020210,88064,088064,10,950202,,EMBAJADA DEL PERÚ EN NUEVA ZELANDA.  ,90216,286,70,65,70,24.476,D,N,C,Contabilizada,80,VOTOS EN BLANCO,3,4.286
8806495020210,88064,088064,10,950202,,EMBAJADA DEL PERÚ EN NUEVA ZELANDA.  ,90216,286,70,65,70,24.476,D,N,C,Contabilizada,82,VOTOS IMPUGNADOS,0,0
8806495020215,88064,088064,15,950202,,EMBAJADA DEL PERÚ EN NUEVA ZELANDA.  ,90216,286,70,63,70,24.476,D,N,C,Contabilizada,5,FE EN EL PERÚ,0,0
8806495020215,88064,088064,15,950202,,EMBAJADA DEL PERÚ EN NUEVA ZELANDA.  ,90216,286,70,63,70,24.476,D,N,C,Contabilizada,35,RENOVACIÓN POPULAR,22,31.429
8806495020215,88064,088064,15,950202,,EMBAJADA DEL PERÚ EN NUEVA ZELANDA.  ,90216,286,70,63,70,24.476,D,N,C,Contabilizada,15,PARTIDO DE LOS TRABAJADORES Y EMPRENDEDORES PTE - PERÚ,0,0
8806495020215,88064,088064,15,950202,,EMBAJADA DEL PERÚ EN NUEVA ZELANDA.  ,90216,286,70,63,70,24.476,D,N,C,Contabilizada,32,PODEMOS PERÚ,1,1.429
